model,route,stream,status,firstByteMs,firstSseMs,firstContentMs,totalMs,requestId,creditsCharged,errorCode,billingStatus
gemini-2.5-pro,POST /v1/chat/completions,true,200,1342,1342,7350,7351,086da63ccb9dcd7bed8c152950de0159,,,
gemini-2.5-pro,POST /v1/responses,true,200,1094,1094,9663,9664,a7c2e4ff694dcc57c10b8699b70e528b,,,
gemini-2.5-pro,POST /v1/chat/completions,false,200,16753,,16754,16754,c00c710ec953b9ed35c7bdd343230060,0.002725,,
gemini-2.5-pro,POST /v1/responses,false,200,7133,,7133,7133,5050629f97298605a2f197b76d730e41,0.003068,,
gemini-2.5-pro,POST /v1/chat/completions,true,200,1053,1053,,46591,0911ccd6004aa7a828d87750ecc5a29b,0,,not_billable
gemini-2.5-pro,POST /v1/responses,true,200,1174,1174,10315,10836,29bb6a1736d46fb4105fa082534afead,,,
gemini-2.5-pro,POST /v1/chat/completions,false,200,10436,,10436,10436,a6a03f1ce1f7e26ad99bd5a6e099fd1f,0.002553,,
gemini-2.5-pro,POST /v1/responses,false,200,8151,,8151,8151,279ae7d58495db877326e50e98283ed3,0.0027,,
gemini-2.5-pro,POST /v1/chat/completions,true,200,1075,1075,9053,9053,c355872fcc40453000b7c1861f472253,,,
gemini-2.5-pro,POST /v1/responses,true,200,1155,1155,6595,6595,5af6289edbf51ef9ac5e1a1cad44d022,,,
gemini-2.5-pro,POST /v1/chat/completions,false,200,11962,,11962,11962,1c799eefa77035210a18276509831dc2,0.002486,,
gemini-2.5-pro,POST /v1/responses,false,200,7363,,7363,7363,53654616bab357ecca528b606c5bba3b,0.002208,,
gemini-2.5-pro,POST /v1/chat/completions,true,200,1004,1004,36320,36320,88b5de11c071a044a95d3c5f35dbbd4c,,,
gemini-2.5-pro,POST /v1/responses,true,200,1106,1106,66929,66929,eb01196ccb8f7ce7fbb0c6b15ad6be9b,,,
gemini-2.5-pro,POST /v1/chat/completions,false,200,10730,,10730,10730,4fd55a0e7c87590e8dbb48f978120b92,0.003023,,
gemini-2.5-pro,POST /v1/responses,false,200,5621,,5621,5621,2052921f97ab76a1e8b7400fc79cc328,0.001363,,
gemini-2.5-pro,POST /v1/chat/completions,true,200,1830,1830,11240,11240,4d5ca3e40c3952cbbd07ebb8da17c560,,,
gemini-2.5-pro,POST /v1/responses,true,200,1007,1007,7891,8037,bc8d2412012eeb77a2d7bcdcad7ce8ab,,,
gemini-2.5-flash,POST /v1/chat/completions,false,200,37261,,37261,37261,4a345744dcaa56f01efa7c37279d1b8a,0.540717,,
gemini-2.5-flash,POST /v1/responses,false,0,,,,120005,,,network_timeout,
gemini-2.5-flash,POST /v1/chat/completions,true,200,1639,1639,37227,37228,c0f13ca2311cf77bdc4be00a4ab74123,,,
gemini-2.5-flash,POST /v1/responses,true,200,1093,1093,5800,5800,7b7904b2d981a6ea60b22f9b8a2b590a,,,
gemini-2.5-flash,POST /v1/chat/completions,false,504,46492,,,46492,bf9e847be2985c29464ac4d33704a880,,upstream_timeout,
gemini-2.5-flash,POST /v1/responses,false,200,12265,,12265,12265,f21a77846666ae0303348a853ec51dd2,0.540344,,
gemini-2.5-flash,POST /v1/chat/completions,true,200,1472,1472,34723,34724,e2ae50524b7329601554997b07966251,,,
gemini-2.5-flash,POST /v1/responses,true,200,1456,1457,10559,10560,ee1d69b3856c9a757f82b2ed38202fae,,,
gemini-2.5-flash,POST /v1/chat/completions,false,200,7161,,7161,7161,a5ac6f8f26b1c3d4a2691e6963b111b9,0.534516,,
gemini-2.5-flash,POST /v1/responses,false,200,16703,,16703,16703,bf65c160e9ff8451c24a4d2e1a8b3fd2,0.528408,,
gemini-2.5-flash,POST /v1/chat/completions,true,200,1700,1700,9308,9309,ca46a4179dfb4e00a56b4d6b0d59367d,,,
gemini-2.5-flash,POST /v1/responses,true,200,1514,1514,19447,19447,3e55dcdc8ad0929f8cce2c5f39490a6c,,,
gemini-2.5-flash,POST /v1/chat/completions,false,200,9142,,9142,9142,4c75f9f64d6b5230ed3d52d3dcf3b0aa,0.54084,,
gemini-2.5-flash,POST /v1/responses,false,200,6534,,6535,6535,aad7bd8082018978b6bbb291bf1e7770,0.534496,,
gemini-2.5-flash,POST /v1/chat/completions,true,200,1331,1331,4864,4864,bc7d4a18236f9f5fd49e7a5c99b10e2d,,,
gemini-2.5-flash,POST /v1/responses,true,200,1063,1063,6218,6219,8089e5ee854d39e70e241607c3a0a72d,,,
gemini-2.5-flash,POST /v1/chat/completions,false,200,4546,,4546,4546,1a819b9a1cf047cafa7ce8bb8d851a14,0.522577,,
gemini-2.5-flash,POST /v1/responses,false,200,24826,,24826,24826,8b6e0af91cc41b252675c7500d72bb56,0.51028,,
gemini-2.5-flash,POST /v1/chat/completions,true,200,1603,1603,5177,5177,b29a2b9a86712f46da796f653a3f76dd,,,
gemini-2.5-flash,POST /v1/responses,true,200,1405,1405,42501,42503,dd5e0f2ce159a9a4feead3fcf5f841fe,,,
